Baseline,Name
58.51325935,Academic Surge Building
36.1746078,Activities and Recreation Center
1.01091201,Advanced Materials Research Laboratory
56.36439479,Advanced Transportation Infrastructure Research Center
20.70990242,Aggie Stadium
100.6178232,Agronomy Field Laboratory
3.282583824,Animal Building
17.3179356,Animal Resource Service J1
44.8496195,Ann E. Pitzer Center
72.96202958,Aquatic Biology & Environmental Science Bldg
21.84148559,ARC Pavilion
32.44633076,Art Building
25.91492497,Art Building Annex
103.3215271,"Art, Music, Wright Halls"
12.26051897,Asmundson Annex
0.05222582,Asmundson Hall
14.4993154,Bainer Hall
68.89420871,Bowley Head House
-0.812328995,Briggs Hall
34.62318153,Campus Data Center
36.25551521,Cellular Biology Laboratory
136.3877991,Center for Companion Animal Health
23.4855212,Center for Comparative Medicine
9.625922209,Center for Health & Environment Clinical Medicine
-18.33229274,Center for Health & Environment Office & Laboratory
-21.54100155,Center for Health & Environment Toxic Pollutant Laboratory
28.97040027,Chemistry
529.4458618,Chemistry Annex
393.3130493,Cole A
260.6324463,Cole B
270.2610479,Conference Center
129.3521271,Cruess Hall
48.80769848,Cuarto
0.934773445,Dairy Cattle Feed
79.8124904,Dairy Cattle Shed
36.20842794,Dairy Tower
80.68547279,Dutton Hall
793.9766846,Earth and Physical Sciences Building
551.2250977,Equestrian Center Caretaker Trailer
18.15390428,Equestrian Center Covered Arena
225.1677059,FPS Trinchero Building
343.3522034,Freeborn Hall
234.4652405,Gallagher Hall
51.96656394,Genome & Biomedical Sciences Facility
83.44161059,Geotechnical Modeling Facility
359.6225503,Ghausi Hall
2.070926666,Giedt Hall
318.884012,Haring Hall
122.1642151,Hart Hall
17.47534459,Heitman Staff Learning Center
43.14408418,Hickey Gym
181.5770759,Hickey Pool
175.6580658,Hoagland Hall
12.36788808,Hopkins Services Center Parking Lot
20.95366714,Hopkins Services Complex
60.51668806,Housing Administration
132.745224,Hunt Hall
51.89097272,Hutchison Child Development Center
194.8650804,Hutchison Hall
77.31443308,IET Communications Resources
111.3148272,International Center
28.52401655,Jungerman Hall
149.8604108,Kemper Hall
89.75712585,Kerr Hall
109.0524546,King Hall
24.06136854,Leukemia Barn
72.89983218,Leukemia Lab
535.3206787,Life Sciences
11.11784548,Maddy Lab
10.78454366,Mann Laboratory
14.47913968,Mathematical Sciences Building
145.3756409,Medical Sciences I D
166.6295471,Memorial Union
184.7624664,Meyer Hall
128.317627,Mrak Hall
264.9381714,Music Building
66.88396454,Office of Research (1850 Research Park Drive)
262.2835083,Olson Hall
16.88282784,Parsons Seed Certification Center
34.55829081,Pavilion Parking Structure
307.5372925,Physical Sciences & Engineering Library
572.0202637,Physics Building
204.3400211,Plant & Environmental Sciences
247.672305,Primate Childhood Health & Disease Facility
444.6364746,Primate Respiratory Disease Center
63.63554382,Primate Virology & Immunology Laboratory
26.62608242,Pritchard VMTH
232.2116827,Quad Parking Structure
52.40696021,Residence Halls
19.2858575,Rifle Range
106.8481783,"RMI Brewery, Winery, and Food Pilot Facility"
12.4543062,"RMI North, South, Sensory"
55.94205093,Robbins Hall
25.91620917,Roessler Hall
39.962571,Schaal Aquatic Center
1.376640722,School of Education Building
18.81103897,Sciences Lab Building
99.50636286,Segundo Dining Commons
59.83278275,Segundo High Rises
821.0220337,Segundo North